DRV	LEM	ASP	CTA	KDU	WEP	WEW	GUA	CBI	KNY	KAG	HTY	KAK	ONW	PPI	RIK	MMB	MSR	MGD	CHD	TIK	KTN
1.00	0.10	0.69	0.47	0.03	0.02	0.02	0.03	0.02	0.02	0.07	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.21	0.06	0.07	0.02
0.10	1.00	0.31	0.55	0.85	0.82	0.79	0.74	0.75	0.75	0.75	0.75	0.75	0.75	0.77	0.78	0.77	0.81	0.40	0.74	0.74	0.69
0.69	0.31	1.00	0.84	0.12	0.09	0.08	0.15	0.09	0.06	0.12	0.07	0.05	0.05	0.08	0.08	0.08	0.12	0.28	0.20	0.22	0.11
0.47	0.55	0.84	1.00	0.50	0.55	0.46	0.50	0.36	0.30	0.35	0.31	0.29	0.28	0.30	0.30	0.30	0.34	0.39	0.36	0.39	0.38
0.03	0.85	0.12	0.50	1.00	0.99	0.99	0.98	0.98	0.96	0.96	0.97	0.96	0.96	0.95	0.95	0.94	0.97	0.56	0.81	0.79	0.85
0.02	0.82	0.09	0.55	0.99	1.00	0.99	0.97	0.96	0.93	0.92	0.94	0.94	0.94	0.92	0.93	0.92	0.93	0.54	0.76	0.73	0.80
0.02	0.79	0.08	0.46	0.99	0.99	1.00	0.98	0.99	0.97	0.96	0.97	0.98	0.97	0.95	0.96	0.95	0.96	0.56	0.79	0.77	0.85
0.03	0.74	0.15	0.50	0.98	0.97	0.98	1.00	0.98	0.95	0.96	0.96	0.95	0.95	0.92	0.92	0.92	0.94	0.58	0.81	0.79	0.84
0.02	0.75	0.09	0.36	0.98	0.96	0.99	0.98	1.00	0.99	0.99	0.99	0.99	0.98	0.97	0.97	0.97	0.98	0.57	0.83	0.82	0.89
0.02	0.75	0.06	0.30	0.96	0.93	0.97	0.95	0.99	1.00	0.98	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.55	0.86	0.85	0.92
0.07	0.75	0.12	0.35	0.96	0.92	0.96	0.96	0.99	0.98	1.00	0.99	0.97	0.97	0.97	0.97	0.96	0.99	0.55	0.86	0.86	0.92
0.02	0.75	0.07	0.31	0.97	0.94	0.97	0.96	0.99	1.00	0.99	1.00	0.99	0.99	0.99	0.99	0.99	0.99	0.57	0.86	0.85	0.92
0.02	0.75	0.05	0.29	0.96	0.94	0.98	0.95	0.99	1.00	0.97	0.99	1.00	1.00	0.99	0.99	0.99	0.98	0.56	0.85	0.83	0.91
0.02	0.75	0.05	0.28	0.96	0.94	0.97	0.95	0.98	1.00	0.97	0.99	1.00	1.00	0.99	0.99	0.99	0.98	0.56	0.85	0.82	0.90
0.02	0.77	0.08	0.30	0.95	0.92	0.95	0.92	0.97	1.00	0.97	0.99	0.99	0.99	1.00	1.00	1.00	0.99	0.54	0.89	0.87	0.93
0.02	0.78	0.08	0.30	0.95	0.93	0.96	0.92	0.97	0.99	0.97	0.99	0.99	0.99	1.00	1.00	1.00	0.99	0.54	0.89	0.86	0.92
0.02	0.77	0.08	0.30	0.94	0.92	0.95	0.92	0.97	0.99	0.96	0.99	0.99	0.99	1.00	1.00	1.00	0.98	0.54	0.89	0.86	0.92
0.04	0.81	0.12	0.34	0.97	0.93	0.96	0.94	0.98	0.99	0.99	0.99	0.98	0.98	0.99	0.99	0.98	1.00	0.55	0.89	0.86	0.91
0.21	0.40	0.28	0.39	0.56	0.54	0.56	0.58	0.57	0.55	0.55	0.57	0.56	0.56	0.54	0.54	0.54	0.55	1.00	0.55	0.64	0.61
0.06	0.74	0.20	0.36	0.81	0.76	0.79	0.81	0.83	0.86	0.86	0.86	0.85	0.85	0.89	0.89	0.89	0.89	0.55	1.00	0.98	0.95
0.07	0.74	0.22	0.39	0.79	0.73	0.77	0.79	0.82	0.85	0.86	0.85	0.83	0.82	0.87	0.86	0.86	0.86	0.64	0.98	1.00	0.95
0.02	0.69	0.11	0.38	0.85	0.80	0.85	0.84	0.89	0.92	0.92	0.92	0.91	0.90	0.93	0.92	0.92	0.91	0.61	0.95	0.95	1.00
