MAW, CZT, HBK, LMM, MLT, ELT, QSB, ISK, SUA, LVV, BEL, HLP, TAR, LOV, UPS, NUR, HAN, OUJ, PEL, SOD, KIR, MUO, IVA, ABK, KIL, MAS, AND, TRO, SOR, BJN, HOR, HRN, ALE
1.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.07, 0.07, 0.00, 0.03, 0.03, 0.00, 0.01, 0.02, 0.01, 0.01, 0.02, 0.14, 0.23, 0.23, 0.68
0.00, 1.00, 0.95, 0.95, 0.99, 0.98, 0.99, 0.99, 0.98, 0.99, 0.97, 0.98, 0.97, 0.96, 0.96, 0.95, 0.88, 0.70, 0.82, 0.82, 0.87, 0.84, 0.83, 0.85, 0.84, 0.84, 0.88, 0.87, 0.87, 0.64, 0.40, 0.41, 0.00
0.00, 0.95, 1.00, 1.00, 0.97, 0.98, 0.97, 0.96, 0.95, 0.96, 0.93, 0.95, 0.93, 0.93, 0.92, 0.90, 0.81, 0.66, 0.79, 0.79, 0.82, 0.80, 0.79, 0.81, 0.81, 0.80, 0.85, 0.83, 0.84, 0.65, 0.44, 0.46, 0.01
0.01, 0.95, 1.00, 1.00, 0.98, 0.99, 0.98, 0.97, 0.96, 0.96, 0.94, 0.96, 0.94, 0.94, 0.94, 0.92, 0.82, 0.65, 0.79, 0.79, 0.84, 0.81, 0.80, 0.82, 0.82, 0.82, 0.86, 0.84, 0.85, 0.64, 0.43, 0.45, 0.01
0.00, 0.99, 0.97, 0.98, 1.00, 0.99, 0.99, 0.99, 0.97, 0.98, 0.95, 0.97, 0.95, 0.96, 0.95, 0.94, 0.85, 0.64, 0.79, 0.79, 0.85, 0.81, 0.80, 0.83, 0.81, 0.81, 0.86, 0.84, 0.85, 0.65, 0.39, 0.42, 0.00
0.00, 0.98, 0.98, 0.99, 0.99, 1.00, 0.99, 0.98, 0.97, 0.97, 0.95, 0.97, 0.95, 0.95, 0.95, 0.93, 0.83, 0.63, 0.78, 0.78, 0.84, 0.80, 0.79, 0.82, 0.81, 0.81, 0.86, 0.84, 0.85, 0.65, 0.40, 0.43, -8.05E-05
0.00, 0.99, 0.97, 0.98, 0.99, 0.99, 1.00, 1.00, 0.99, 0.99, 0.97, 0.99, 0.97, 0.97, 0.96, 0.95, 0.87, 0.69, 0.83, 0.83, 0.87, 0.85, 0.84, 0.86, 0.85, 0.85, 0.89, 0.88, 0.87, 0.63, 0.38, 0.40, 0.00
0.00, 0.99, 0.96, 0.97, 0.99, 0.98, 1.00, 1.00, 1.00, 1.00, 0.98, 0.99, 0.98, 0.98, 0.97, 0.95, 0.87, 0.70, 0.83, 0.83, 0.88, 0.85, 0.84, 0.86, 0.85, 0.85, 0.89, 0.87, 0.87, 0.62, 0.38, 0.39, 0.00
0.00, 0.98, 0.95, 0.96, 0.97, 0.97, 0.99, 1.00, 1.00, 1.00, 0.99, 0.99, 0.99, 0.98, 0.97, 0.96, 0.88, 0.73, 0.86, 0.86, 0.90, 0.87, 0.87, 0.89, 0.88, 0.87, 0.90, 0.89, 0.88, 0.62, 0.39, 0.40, 4.57E-05
0.00, 0.99, 0.96, 0.96, 0.98, 0.97, 0.99, 1.00, 1.00, 1.00, 0.99, 1.00, 0.99, 0.98, 0.98, 0.96, 0.87, 0.73, 0.85, 0.85, 0.89, 0.87, 0.86, 0.88, 0.87, 0.86, 0.90, 0.88, 0.88, 0.62, 0.39, 0.40, -6.55E-05
