MAW, CZT, HBK, BNG, AAE, MLT, ELT, QSB, ISK, SUA, LVV, BEL, HLP, TAR, LOV, UPS, NUR, HAN, OUJ, PEL, SOD, KIR, MUO, IVA, ABK, KIL, MAS, KEV, AND, TRO, SOR, BJN, HOR, HRN, LYR, NAL, DMH, NRD, ALE
1.00, 0.90, 0.78, 0.80, 0.80, 0.81, 0.81, 0.82, 0.81, 0.81, 0.83, 0.86, 0.89, 0.85, 0.83, 0.83, 0.84, 0.84, 0.85, 0.84, 0.83, 0.82, 0.81, 0.80, 0.80, 0.78, 0.77, 0.77, 0.76, 0.75, 0.72, 0.88, 0.88, 0.88, 0.86, 0.86, 0.83, 0.85, 0.72
0.90, 1.00, 0.66, 0.69, 0.68, 0.68, 0.69, 0.70, 0.70, 0.73, 0.78, 0.82, 0.88, 0.91, 0.89, 0.88, 0.86, 0.86, 0.88, 0.88, 0.87, 0.86, 0.85, 0.83, 0.83, 0.80, 0.78, 0.78, 0.78, 0.77, 0.72, 0.75, 0.75, 0.76, 0.74, 0.73, 0.70, 0.74, 0.54
0.78, 0.66, 1.00, 0.99, 1.00, 0.99, 1.00, 0.99, 0.99, 0.98, 0.94, 0.90, 0.75, 0.77, 0.71, 0.72, 0.77, 0.77, 0.81, 0.84, 0.84, 0.82, 0.83, 0.85, 0.84, 0.86, 0.86, 0.87, 0.86, 0.87, 0.87, 0.89, 0.89, 0.89, 0.91, 0.91, 0.91, 0.91, 0.73
0.80, 0.69, 0.99, 1.00, 1.00, 0.99, 1.00, 0.99, 0.99, 0.98, 0.96, 0.93, 0.78, 0.80, 0.73, 0.74, 0.80, 0.80, 0.84, 0.86, 0.86, 0.85, 0.87, 0.88, 0.87, 0.88, 0.88, 0.89, 0.88, 0.88, 0.88, 0.89, 0.89, 0.89, 0.91, 0.91, 0.91, 0.90, 0.74
0.80, 0.68, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.99, 0.98, 0.96, 0.92, 0.78, 0.79, 0.73, 0.74, 0.79, 0.79, 0.83, 0.86, 0.85, 0.84, 0.85, 0.87, 0.86, 0.87, 0.87, 0.88, 0.88, 0.88, 0.88, 0.90, 0.89, 0.89, 0.91, 0.91, 0.91, 0.90, 0.73
0.81, 0.68, 0.99, 0.99, 1.00, 1.00, 1.00, 0.99, 0.99, 0.98, 0.95, 0.91, 0.78, 0.79, 0.73, 0.74, 0.79, 0.79, 0.83, 0.85, 0.84, 0.83, 0.84, 0.85, 0.85, 0.86, 0.86, 0.87, 0.86, 0.87, 0.87, 0.90, 0.89, 0.90, 0.91, 0.92, 0.92, 0.91, 0.74
0.81, 0.69, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.96, 0.92, 0.79, 0.80, 0.74, 0.75, 0.80, 0.80, 0.84, 0.86, 0.86, 0.85, 0.86, 0.86, 0.86, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.90, 0.89, 0.89, 0.91, 0.91, 0.91, 0.90, 0.74
0.82, 0.70, 0.99, 0.99, 0.99, 0.99, 1.00, 1.00, 1.00, 0.99, 0.96, 0.92, 0.80, 0.81, 0.75, 0.76, 0.81, 0.81, 0.85, 0.87, 0.87, 0.86, 0.87, 0.87, 0.87, 0.86, 0.85, 0.86, 0.86, 0.86, 0.86, 0.89, 0.88, 0.89, 0.91, 0.91, 0.91, 0.90, 0.73
0.81, 0.70, 0.99, 0.99, 0.99, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.94, 0.81, 0.81, 0.75, 0.76, 0.81, 0.81, 0.85, 0.88, 0.88, 0.87, 0.88, 0.88, 0.88, 0.88, 0.86, 0.87, 0.87, 0.87, 0.87, 0.89, 0.88, 0.88, 0.90, 0.91, 0.90, 0.90, 0.73
0.81, 0.73, 0.98, 0.98, 0.98, 0.98, 0.99, 0.99, 0.99, 1.00, 0.98, 0.96, 0.83, 0.84, 0.78, 0.79, 0.83, 0.83, 0.87, 0.90, 0.90, 0.89, 0.90, 0.90, 0.90, 0.89, 0.88, 0.89, 0.89, 0.88, 0.87, 0.86, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.70
0.83, 0.78, 0.94, 0.96, 0.96, 0.95, 0.96, 0.96, 0.97, 0.98, 1.00, 0.99, 0.89, 0.86, 0.80, 0.80, 0.84, 0.85, 0.90, 0.93, 0.93, 0.92, 0.93, 0.93, 0.93, 0.92, 0.91, 0.91, 0.92, 0.91, 0.89, 0.82, 0.81, 0.81, 0.84, 0.84, 0.84, 0.83, 0.68
