YR,MO,DA,HHMM,Day,Day_1,S,Bx,By,Bz,Bt,Lat_,Long_
2003,10,29,0,52941,0,0,4.4,3.2,-7.7,9.4,-54.7,35.8
2003,10,29,1,52941,60,0,5.7,3.4,-6.6,9.3,-44.9,30.6
2003,10,29,2,52941,120,0,5.6,5.7,-4.5,9.2,-29.4,45.2
2003,10,29,3,52941,180,0,4.2,6.1,-5.4,9.2,-36.1,55
2003,10,29,4,52941,240,0,1.6,7.8,-4.5,9.1,-29.4,78.3
2003,10,29,5,52941,300,0,6.3,6.2,-1.1,8.9,-7.1,44.4
2003,10,29,6,52941,360,0,7.5,2.2,3.1,8.5,21.7,16
2003,10,29,7,52941,420,0,7.5,2.9,-2.8,8.5,-19.6,21.5
2003,10,29,8,52941,480,0,9,0.8,-1.7,9.2,-10.3,5
2003,10,29,9,52941,540,0,8.5,2.1,-2.6,9.2,-16.4,13.9
2003,10,29,10,52941,600,0,8.8,1.8,-2.4,9.3,-15.1,11.3
2003,10,29,11,52941,660,0,8.6,0.8,-2.6,9.1,-16.8,5.5
2003,10,29,12,52941,720,0,8.8,1.1,-2.8,9.3,-17.7,6.9
2003,10,29,13,52941,780,0,8,-1.4,-4.9,9.5,-30.8,349.9
2003,10,29,14,52941,840,0,7.7,-1.1,-5.3,9.4,-34.5,352
2003,10,29,15,52941,900,0,6.9,0.2,-5.5,8.8,-38.4,1.3
2003,10,29,16,52941,960,0,8.4,-0.4,-3.6,9.1,-23.1,356.9
2003,10,29,17,52941,1020,0,8.5,-3.2,-2.4,9.4,-14.9,339.3
2003,10,29,18,52941,1080,0,6.6,-3.8,-4.2,8.6,-29.1,330.2
2003,10,29,19,52941,1140,0,6.8,-5.2,-3.3,9.2,-21,322.6
2003,10,29,20,52941,1200,0,7.6,-4.1,-3.2,9.2,-20.4,331.2
2003,10,29,21,52941,1260,0,6.6,-4.8,-3.9,9,-25.3,324.1
2003,10,29,22,52941,1320,0,4,4.2,-5.4,7.9,-42.8,46.5
2003,10,29,23,52941,1380,0,3.4,7,-4.9,9.1,-32.2,64.1
2003,10,29,24,52941,1440,0,5.3,7.3,-2,9.2,-12.5,53.9
2003,10,29,25,52941,1500,0,5.7,4.2,-4.8,8.5,-33.8,36.5
2003,10,29,26,52941,1560,0,7.3,-1.7,-6.3,9.7,-40.2,346.9
2003,10,29,27,52941,1620,0,8.3,-1.4,-4.8,9.7,-29.5,350.5
2003,10,29,28,52941,1680,0,8.3,-2,-3.7,9.3,-23.6,346.1
2003,10,29,29,52941,1740,0,6.9,-1.2,-5.9,9.2,-40.4,350.1
2003,10,29,30,52941,1800,0,5.2,-0.8,-7.3,9,-54.4,351
2003,10,29,31,52941,1860,0,6.3,-2.2,-5.6,8.7,-39.9,341
2003,10,29,32,52941,1920,0,7.9,-2.1,-3.9,9.1,-25.6,345.3
2003,10,29,33,52941,1980,0,8.2,1,-3.7,9,-24,6.6
2003,10,29,34,52941,2040,0,6.7,2.8,-5,8.8,-34.7,22.4
2003,10,29,35,52941,2100,0,6.9,3.2,-5,9.1,-33.6,24.8
2003,10,29,36,52941,2160,0,5.4,4.4,-5.7,9,-39.2,39.6
2003,10,29,37,52941,2220,0,4.1,5.5,-6.2,9.2,-42,53.3
2003,10,29,38,52941,2280,0,4.4,5.6,-6,9.3,-39.9,51.9
2003,10,29,39,52941,2340,0,7.5,1.9,-5.7,9.6,-36.6,14.3
2003,10,29,40,52941,2400,0,8.3,-1.9,-3.6,9.3,-22.8,347
